Source,Target,Type,Weight
6.77E+18,7.50E+18,Undirected,1
6.77E+18,7.62E+18,Undirected,3
6.77E+18,7.25E+18,Undirected,1
6.77E+18,7.03E+18,Undirected,1
6.77E+18,7.34E+18,Undirected,1
6.77E+18,7.62E+18,Undirected,2
6.77E+18,7.58E+18,Undirected,2
6.77E+18,7.58E+18,Undirected,1
7.50E+18,7.62E+18,Undirected,1
7.25E+18,7.50E+18,Undirected,1
7.03E+18,7.50E+18,Undirected,1
7.34E+18,7.50E+18,Undirected,1
7.50E+18,7.62E+18,Undirected,1
7.50E+18,7.58E+18,Undirected,1
7.50E+18,7.58E+18,Undirected,1
7.25E+18,7.62E+18,Undirected,1
7.03E+18,7.62E+18,Undirected,1
7.34E+18,7.62E+18,Undirected,1
7.62E+18,7.62E+18,Undirected,2
7.58E+18,7.62E+18,Undirected,2
7.58E+18,7.62E+18,Undirected,1
7.03E+18,7.25E+18,Undirected,1
7.25E+18,7.34E+18,Undirected,1
7.25E+18,7.62E+18,Undirected,1
7.25E+18,7.58E+18,Undirected,1
7.25E+18,7.58E+18,Undirected,1
7.03E+18,7.34E+18,Undirected,1
7.03E+18,7.62E+18,Undirected,1
7.03E+18,7.58E+18,Undirected,1
7.03E+18,7.58E+18,Undirected,1
7.34E+18,7.62E+18,Undirected,1
7.34E+18,7.58E+18,Undirected,1
7.34E+18,7.58E+18,Undirected,1
7.58E+18,7.62E+18,Undirected,3
7.58E+18,7.62E+18,Undirected,1
7.58E+18,7.58E+18,Undirected,1
7.34E+18,7.63E+18,Undirected,1
6.97E+18,7.35E+18,Undirected,1
7.46E+18,7.61E+18,Undirected,2
7.23E+18,7.46E+18,Undirected,2
7.04E+18,7.46E+18,Undirected,1
6.97E+18,7.46E+18,Undirected,1
7.37E+18,7.46E+18,Undirected,1
7.23E+18,7.61E+18,Undirected,2
7.04E+18,7.61E+18,Undirected,1
6.97E+18,7.61E+18,Undirected,1
7.37E+18,7.61E+18,Undirected,1
7.04E+18,7.23E+18,Undirected,1
6.97E+18,7.23E+18,Undirected,1
7.23E+18,7.37E+18,Undirected,1
6.97E+18,7.04E+18,Undirected,1
7.04E+18,7.37E+18,Undirected,1
6.97E+18,7.37E+18,Undirected,1
6.83E+18,7.04E+18,Undirected,1
6.78E+18,6.88E+18,Undirected,1
6.88E+18,6.98E+18,Undirected,1
6.88E+18,6.95E+18,Undirected,2
6.83E+18,6.88E+18,Undirected,1
6.77E+18,6.88E+18,Undirected,1
6.78E+18,6.98E+18,Undirected,1
6.78E+18,6.95E+18,Undirected,2
6.78E+18,6.83E+18,Undirected,2
6.77E+18,6.78E+18,Undirected,2
6.95E+18,6.98E+18,Undirected,1
6.83E+18,6.98E+18,Undirected,1
6.77E+18,6.98E+18,Undirected,1
6.83E+18,6.95E+18,Undirected,1
6.77E+18,6.95E+18,Undirected,1
6.77E+18,6.83E+18,Undirected,2
6.93E+18,7.19E+18,Undirected,1
6.78E+18,6.89E+18,Undirected,2
6.89E+18,6.95E+18,Undirected,1
6.78E+18,6.95E+18,Undirected,1
6.89E+18,7.09E+18,Undirected,1
7.26E+18,7.42E+18,Undirected,2
7.40E+18,7.54E+18,Undirected,3
7.12E+18,7.40E+18,Undirected,2
6.95E+18,7.40E+18,Undirected,3
7.12E+18,7.54E+18,Undirected,2
6.95E+18,7.54E+18,Undirected,3
6.95E+18,7.12E+18,Undirected,3
6.78E+18,7.55E+18,Undirected,2
6.80E+18,6.81E+18,Undirected,2
6.94E+18,6.97E+18,Undirected,1
6.58E+18,6.86E+18,Undirected,2
6.58E+18,7.48E+18,Undirected,1
6.58E+18,7.63E+18,Undirected,1
6.58E+18,7.40E+18,Undirected,1
6.86E+18,7.48E+18,Undirected,1
6.86E+18,7.63E+18,Undirected,1
6.86E+18,7.40E+18,Undirected,1
7.48E+18,7.63E+18,Undirected,1
7.40E+18,7.48E+18,Undirected,1
7.40E+18,7.63E+18,Undirected,1
7.00E+18,7.38E+18,Undirected,1
6.58E+18,6.66E+18,Undirected,1
6.58E+18,6.79E+18,Undirected,1
6.58E+18,7.60E+18,Undirected,2
6.58E+18,7.65E+18,Undirected,1
6.58E+18,6.85E+18,Undirected,2
6.58E+18,7.53E+18,Undirected,1
6.58E+18,7.65E+18,Undirected,1
6.58E+18,6.94E+18,Undirected,2
6.58E+18,6.88E+18,Undirected,2
6.58E+18,7.01E+18,Undirected,1
6.58E+18,7.25E+18,Undirected,1
6.58E+18,7.17E+18,Undirected,1
6.58E+18,6.79E+18,Undirected,1
6.58E+18,7.33E+18,Undirected,1
6.58E+18,7.00E+18,Undirected,1
6.58E+18,6.65E+18,Undirected,1
6.58E+18,6.97E+18,Undirected,2
6.56E+18,6.58E+18,Undirected,1
6.58E+18,6.76E+18,Undirected,1
6.66E+18,6.79E+18,Undirected,1
6.66E+18,7.60E+18,Undirected,1
6.66E+18,7.65E+18,Undirected,1
6.66E+18,6.85E+18,Undirected,1
6.66E+18,7.53E+18,Undirected,2
6.66E+18,7.65E+18,Undirected,2
6.66E+18,6.94E+18,Undirected,1
6.66E+18,6.86E+18,Undirected,1
6.66E+18,6.88E+18,Undirected,1
6.66E+18,7.01E+18,Undirected,2
6.66E+18,7.25E+18,Undirected,1
6.66E+18,7.17E+18,Undirected,1
6.66E+18,6.79E+18,Undirected,1
6.66E+18,7.33E+18,Undirected,1
6.66E+18,7.00E+18,Undirected,1
6.65E+18,6.66E+18,Undirected,1
6.66E+18,6.97E+18,Undirected,2
6.56E+18,6.66E+18,Undirected,2
6.66E+18,6.76E+18,Undirected,1
6.79E+18,7.60E+18,Undirected,1
6.79E+18,7.65E+18,Undirected,2
6.79E+18,6.85E+18,Undirected,1
6.79E+18,7.53E+18,Undirected,1
6.79E+18,7.65E+18,Undirected,1
6.79E+18,6.94E+18,Undirected,1
6.79E+18,6.86E+18,Undirected,1
6.79E+18,6.88E+18,Undirected,1
6.79E+18,7.01E+18,Undirected,1
6.79E+18,7.25E+18,Undirected,1
6.79E+18,7.17E+18,Undirected,1
6.79E+18,6.79E+18,Undirected,1
6.79E+18,7.33E+18,Undirected,1
6.79E+18,7.00E+18,Undirected,1
6.65E+18,6.79E+18,Undirected,1
6.79E+18,6.97E+18,Undirected,1
6.56E+18,6.79E+18,Undirected,1
